;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend;Memory 16G;Street;Computer
Alarme;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 
Candy Crush;1; 1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 1; 1; 0; 0; 
Google;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Flappy Bird;1; 1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 1; 1; 0; 0; 
Gmail;0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
Google Play Store;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
livescore;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
Maps;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 
Navigation;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 
Parametres;0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 
RunKeeper;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 
SMS;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
