X;included_C1.csv;included_C10.csv;included_C2.csv;included_C3.csv;included_C4.csv;included_C5.csv;included_C6.csv;included_C7.csv;included_C8.csv;included_C9.csv
"cours bn:00076429n";2;0;0;2;0;5;1;0;0;0
"web bn:00080772n";31;24;2;6;5;6;8;28;5;11
"web page bn:00080778n";3;0;0;0;0;0;0;0;0;0
"poster bn:15173511n";2;0;0;0;0;0;0;0;0;0
"client bn:00019764n";2;3;5;3;10;2;0;2;5;0
"être bn:01588530n";32;0;0;0;0;0;0;0;0;0
"programme bn:00021492n";12;1;0;3;0;0;15;0;2;1
"ensemble bn:00030963n";1;1;0;0;0;0;0;0;0;0
"coder bn:00020358n";2;0;1;0;0;1;0;0;2;0
"utiliser bn:00079395n";6;1;0;6;0;3;4;6;0;5
"html bn:00045087n";35;52;1;11;36;5;7;8;11;9
"php bn:01753580n";15;15;53;70;4;67;17;36;57;25
"css bn:01642119n";1;5;1;0;36;0;0;0;8;1
"javascript bn:00055423n";1;2;0;1;2;0;1;0;0;2
"document bn:00028018n";3;0;0;0;11;1;7;0;0;1
"ou bn:00315807n";1;0;0;0;0;0;0;0;0;0
"perl bn:01723165n";1;0;0;5;0;1;0;0;0;1
"python bn:01713224n";1;0;0;0;0;0;0;0;0;0
"java bn:00048043n";1;1;1;1;0;0;0;0;0;0
"sql bn:02266432n";2;1;0;3;0;0;0;0;0;2
"code bn:00020354n";4;1;5;7;0;5;2;4;8;0
"print bn:00064437n";4;0;0;0;0;0;0;0;0;0
"principal bn:00099598a";1;0;0;0;0;0;0;0;0;0
"par bn:03318531n";8;3;0;9;0;0;7;3;0;0
"ees bn:00029856n";1;0;0;0;0;0;0;0;0;0
"tableau bn:00051926n";3;0;0;0;0;0;0;0;0;18
"url bn:00079080n";1;0;0;0;0;0;0;3;0;2
"vers bn:00946787n";2;5;0;1;0;0;2;0;0;0
"http bn:00045088n";1;1;1;1;4;6;0;1;0;2
"objectifs bn:02631373n";1;0;0;0;0;0;0;1;3;0
"composant bn:02635060n";5;0;0;0;0;0;0;0;0;0
"size bn:00016413n";1;4;5;20;0;1;5;0;5;14
"value bn:00079508n";1;0;2;0;0;0;0;0;2;0
"modifier bn:00055488n";1;0;0;0;0;0;0;0;0;0
"text bn:00076732n";1;0;0;0;0;0;0;0;0;1
"password bn:00023218n";1;0;1;0;0;0;0;0;0;1
"lieu bn:00051035n";1;0;0;0;0;0;0;0;0;0
"identifier bn:00045822n";1;0;0;0;0;0;0;0;2;0
"dans bn:00075878n";1;0;0;0;0;0;0;0;0;0
"option bn:03088982n";1;0;3;0;0;2;0;0;1;0
"destination bn:00001307n";1;0;0;0;0;0;0;0;0;0
"encoder bn:02487361n";2;0;0;0;0;0;0;0;0;0
"variables bn:00079583n";2;0;0;0;0;0;0;0;0;0
"entier bn:03340872n";1;0;3;2;0;0;0;1;1;2
"organisation bn:00059480n";0;4;0;0;0;0;0;0;0;0
"premier bn:00017631n";0;3;0;0;0;0;0;0;0;0
"fin bn:02405887n";0;1;0;1;0;0;0;0;0;0
"evaluation bn:03464447n";0;1;0;0;0;0;0;0;0;0
"mysql bn:01225760n";0;3;0;6;2;3;0;0;0;2
"site bn:00047172n";0;9;0;3;9;4;1;4;4;10
"base bn:15449583n";0;4;3;9;2;1;15;2;0;5
"back office bn:01367276n";0;4;0;0;0;0;0;0;0;0
"apache bn:01932513n";0;14;0;6;1;3;0;0;0;0
"xamp bn:02350502n";0;1;0;0;0;0;0;0;0;1
"version bn:00047114n";0;10;0;0;3;0;3;0;0;0
"internet bn:00024712n";0;3;0;0;0;0;0;0;0;1
"html 5 bn:03675085n";0;2;0;0;0;0;0;0;0;0
"tutorial bn:00078719n";0;1;0;0;0;0;0;0;0;1
"header bn:00043309n";0;1;0;0;0;0;1;1;0;0
"author bn:00007287n";0;2;0;0;0;0;0;0;0;0
"content bn:00453494n";0;2;0;0;1;0;0;0;0;0
"doctype bn:15839327n";0;2;0;0;2;0;0;0;0;1
"w3c bn:02673666n";0;1;0;0;2;0;0;0;0;1
"firefox bn:01387235n";0;1;0;0;0;0;0;0;0;0
"internet explorer bn:17346309n";0;1;0;0;0;0;0;0;0;0
"internet explorer 9 bn:00863156n";0;1;0;0;0;0;0;0;0;0
"explorer bn:00032342n";0;1;0;0;0;0;0;0;0;0
"descriptions bn:01244302n";0;1;0;0;0;0;0;0;0;0
"h2 bn:02803535n";0;4;0;0;1;0;0;0;0;0
"hr bn:00061744n";0;1;0;0;0;0;0;0;0;0
"blockquote bn:02659523n";0;1;0;0;0;0;0;0;0;0
"importer bn:00046146n";0;1;0;0;0;0;0;0;0;0
"seul bn:02153653n";0;1;1;0;0;0;1;0;0;0
"tr bn:03561884n";0;1;0;0;0;0;0;0;0;0
"caption bn:00015763n";0;2;0;0;0;0;0;0;0;0
"tbody bn:02104867n";0;5;0;0;0;0;0;0;0;0
"jpg bn:00838809n";0;2;0;0;0;0;0;0;0;0
"lightblue bn:02105535n";0;2;0;0;0;0;0;0;0;0
"rel bn:03117903n";0;2;0;0;0;0;0;0;0;0
"color bn:00020726n";0;2;0;0;10;0;0;0;0;0
"include bn:00082370v";0;2;0;0;0;0;0;0;0;0
"dns bn:03714295n";0;1;0;0;0;0;0;0;0;0
"plan bn:02412768n";0;0;3;0;0;0;0;0;0;0
"session bn:03751534n";0;0;3;6;0;0;1;24;0;0
"page bn:00060158n";0;0;7;0;0;8;0;0;0;0
"solution bn:00068248n";0;0;1;0;0;0;0;0;0;4
"java interface bn:03111439n";0;0;1;0;0;0;0;0;0;0
"instruction bn:00020945n";0;0;4;0;0;2;0;0;0;0
"test bn:01836974n";0;0;2;0;0;0;0;0;0;0
"pi bn:00062194n";0;0;4;0;0;0;0;0;0;0
"sans bn:03126412n";0;0;1;0;0;0;0;0;0;0
"xor bn:00178793n";0;0;1;0;0;0;0;0;0;0
"elseif bn:15711528n";0;0;1;0;0;0;0;0;0;2
"expr bn:03120209n";0;0;1;0;0;0;0;0;0;0
"break bn:00047734n";0;0;3;1;0;0;0;1;0;3
"default bn:03854990n";0;0;1;0;0;1;0;1;0;1
"foreach bn:03463379n";0;0;2;1;0;0;0;2;0;2
"id bn:00729878n";0;0;3;0;0;0;0;0;3;0
"trie bn:02479296n";0;0;1;0;0;0;0;0;0;0
"strlen bn:02730004n";0;0;2;0;0;0;0;1;0;0
"ch bn:02519539n";0;0;14;0;0;0;0;0;0;0
"minuscules bn:00052186n";0;0;1;0;0;0;0;0;0;0
"substr bn:17242513n";0;0;1;0;0;0;0;0;0;0
"return bn:03828774n";0;0;2;1;0;0;0;1;4;1
"require_once bn:02174453n";0;0;1;0;0;0;0;0;0;0
"method bn:01641329n";0;0;1;0;0;0;0;1;1;0
"méthode bn:17307407n";0;0;1;3;0;0;0;1;1;0
"post bn:01500184n";0;0;1;1;0;0;0;2;0;0
"code postal bn:00063770n";0;0;1;0;0;0;0;0;0;0
"cols bn:03053623n";0;0;1;0;0;0;0;0;2;0
"rows bn:00068426n";0;0;1;0;0;0;0;0;2;0
"radio bn:00065899n";0;0;1;0;0;0;0;0;0;0
"multiple bn:00056285n";0;0;1;0;0;0;0;0;0;0
"bit bn:00010731n";0;0;0;1;0;0;0;0;0;0
"expression bn:03834028n";0;0;0;1;0;0;0;0;0;0
"structure bn:00025330n";0;0;0;2;0;1;3;6;0;1
"date bn:15315044n";0;0;0;6;0;0;0;0;3;0
"locale bn:03080237n";0;0;0;2;0;0;0;1;0;0
"strftime bn:03338250n";0;0;0;2;0;0;0;0;0;0
"phpmyadmin bn:03382496n";0;0;0;1;0;1;0;0;0;0
"enum bn:00031065n";0;0;0;1;0;0;0;0;0;0
"set bn:00090224v";0;0;0;1;0;0;0;0;0;0
"format bn:01626478n";0;0;0;2;0;0;0;0;0;1
"timestamp bn:03603649n";0;0;0;1;0;0;0;2;0;0
"year bn:00081857n";0;0;0;1;0;0;0;0;0;0
"myisam bn:02270426n";0;0;0;1;0;0;0;0;0;0
"innodb bn:01067935n";0;0;0;1;0;0;0;0;0;0
"fulltext bn:00508617n";0;0;0;1;0;0;0;0;0;0
"lecture bn:00050488n";0;0;0;1;0;0;0;0;0;0
"fread bn:01714886n";0;0;0;6;0;0;0;0;0;0
"upload bn:14257394n";0;0;0;1;0;0;0;0;0;0
"session cookies bn:00070691n";0;0;0;1;0;0;0;13;0;0
"identification bn:00045819n";0;0;0;1;0;0;0;0;0;0
"publication bn:00065108n";0;0;0;3;0;0;0;0;0;0
"ellipse bn:00030406n";0;0;0;1;0;0;0;0;0;0
"autoload bn:01997802n";0;0;0;1;0;0;0;0;0;0
"classes bn:03608262n";0;0;0;1;0;0;0;0;0;0
"exception bn:03416394n";0;0;0;4;0;1;0;0;0;0
"cas bn:00014403n";0;0;0;2;0;1;0;0;0;0
"hypertext bn:00545957n";0;0;0;4;0;0;0;1;0;1
"preprocessor bn:03699337n";0;0;0;2;0;0;0;0;0;1
"rasmus bn:03414129n";0;0;0;2;0;1;0;0;0;0
"rasmus lerdorf bn:03232211n";0;0;0;2;0;1;0;0;0;0
"home bn:00044994n";0;0;0;1;0;0;0;0;0;0
"interpreter bn:00047204n";0;0;0;1;0;0;0;0;0;0
"andi gutmans bn:00571148n";0;0;0;1;0;1;0;0;0;0
"gutmans bn:02101206n";0;0;0;1;0;1;0;0;0;0
"zeev suraski bn:00571154n";0;0;0;1;0;1;0;0;0;0
"application bn:00005095n";0;0;0;2;1;1;1;0;0;2
"extensible bn:00855992n";0;0;0;1;0;0;0;0;0;0
"parc bn:02773046n";0;0;0;1;0;0;0;0;0;0
"nouveau bn:03738398n";0;0;0;1;0;0;1;0;0;0
"zend engine bn:01337536n";0;0;0;2;0;1;0;0;0;0
"engine bn:03643901n";0;0;0;2;0;0;0;0;0;0
"rpc bn:01991191n";0;0;0;1;0;0;0;0;0;0
"xml bn:02771436n";0;0;0;1;0;1;1;0;0;0
"forum bn:14251420n";0;0;0;1;0;0;0;0;0;0
"markup bn:00053491n";0;0;0;1;0;0;0;0;0;0
"markup language bn:00053492n";0;0;0;1;0;0;0;0;0;0
"language bn:00049910n";0;0;0;2;0;1;0;0;0;0
"people bn:00061450n";0;0;0;1;0;0;0;0;0;0
"query language bn:17302791n";0;0;0;1;0;0;0;0;0;0
"lamp bn:01708928n";0;0;0;1;0;3;0;0;0;1
"linux bn:00051427n";0;0;0;2;0;4;1;0;0;1
"server bn:00044916n";0;0;0;2;0;2;1;0;0;0
"server side bn:03816678n";0;0;0;1;0;0;0;0;0;0
"n'y bn:00041611n";0;0;0;1;0;0;0;0;0;1
"active server page bn:02246064n";0;0;0;2;0;0;0;0;0;0
"accessibles bn:00000670n";0;0;0;1;0;0;0;0;0;0
"windows bn:00081305n";0;0;0;4;0;2;0;0;0;0
"module bn:00021497n";0;0;0;1;0;1;0;0;0;0
"jscript bn:01995344n";0;0;0;1;0;0;0;0;0;0
"sun bn:00075170n";0;0;0;1;0;0;0;0;0;0
"sun one bn:02461700n";0;0;0;1;0;0;0;0;0;0
"activex bn:03829972n";0;0;0;1;0;0;0;0;0;0
"vbscript bn:02626435n";0;0;0;1;0;0;0;0;0;0
"licence bn:00050986n";0;0;0;0;1;0;2;0;0;0
"info bn:00046705n";0;0;0;0;1;0;0;0;0;0
"xhtml bn:01163644n";0;0;0;0;6;0;0;0;0;0
"interaction bn:00036845n";0;0;0;0;1;0;0;0;0;0
"creation bn:00022991n";0;0;0;0;1;0;0;0;0;0
"execution bn:00016287n";0;0;0;0;1;0;0;0;0;0
"noel bn:11122477n";0;0;0;0;1;0;0;0;0;0
"navigation bn:00057073n";0;0;0;0;2;0;0;0;0;0
"polices bn:00022026n";0;0;0;0;3;0;0;0;0;0
"composer bn:17364202n";0;0;0;0;1;1;0;0;0;0
"ags bn:00001887n";0;0;0;0;1;0;0;0;0;0
"menu bn:00021485n";0;0;0;0;3;0;0;0;0;0
"passage bn:00060882n";0;0;0;0;1;1;0;1;0;0
"link bn:00045513n";0;0;0;0;3;0;0;0;0;0
"definitions bn:00025928n";0;0;0;0;1;0;0;0;0;0
"verdana bn:03485337n";0;0;0;0;1;0;0;0;0;0
"arial bn:01485779n";0;0;0;0;1;0;0;0;0;0
"sans­serif bn:00043646n";0;0;0;0;1;0;0;0;0;0
"ici bn:03646639n";0;0;0;0;1;0;0;0;0;2
"serif bn:00070615n";0;0;0;0;1;0;0;0;0;0
"italic bn:02014607n";0;0;0;0;1;0;0;0;1;0
"normal bn:00107587a";0;0;0;0;2;0;0;0;0;0
"blue bn:00011477n";0;0;0;0;1;0;0;0;0;0
"underline bn:00095362v";0;0;0;0;3;0;0;0;0;0
"anglais bn:17354271n";0;0;0;0;1;0;0;0;0;1
"margin bn:00053397n";0;0;0;0;2;0;0;0;0;0
"flux bn:03889230n";0;0;0;0;6;4;0;0;0;0
"rapport bn:01966065n";0;0;0;0;1;0;0;0;0;1
"meta bn:03509721n";0;0;0;0;1;0;0;0;0;0
"charset bn:00017756n";0;0;0;0;1;0;0;0;0;0
"iso­8859­1 bn:00717125n";0;0;0;0;1;0;0;0;0;0
"auto bn:00007309n";0;0;0;0;1;0;0;0;0;0
"div bn:02567434n";0;0;0;0;2;0;0;0;0;0
"footer bn:00035726n";0;0;0;0;1;0;0;0;0;0
"au bn:00006911n";0;0;0;0;1;0;0;0;0;0
